Source	ISIN	ISIN Name	Type	Qty	MktPrice	Total	Statement Date
CDSL	INF769K01IQ9	MIRAE ASSET IM (I) P LTD#MIRAE ASS MF-MIRA GLOBAL ELECTRIC & AUTONOMOUS VEHICLES EQ PASSIVE FOF-D-GR	ETF	1880.482	16.685	31375.84217	29-Aug-26
CDSL	INF769K01IS5	MIRAE ASSET IM (I) P LTD#MIRAE ASSET MF-MIRAE GLOBAL X ARTIFICIAL INTELLIG & TECH ETF FOF-DIR-GROWTH	ETF	1188.582	36.036	42831.74095	29-Aug-26
CDSL	INF769K01BJ9	MIRAE ASSET IM (I) PVT LTD#MIRAE ASSET MF-MIRAE ASSET LARGE & MIDCAP FUND-DIRECT PL-IDCW PAY	MF	380.134	85.149	32368.02997	29-Aug-26
CDSL	INF769K01HF4	MIRAE ASSET IM (I) PVT LTD#MIRAE ASSET MF-MIRAE ASSET NYSE FANG+EXCHANGE TRADED FUND	ETF	553	207.13	114542.89	29-Aug-26
CDSL	INF247L01445	MOTILAL OSWAL AMC LTD#MOTILAL OSWAL MF-MOTILAL OSWAL MIDCAP 30 FUND-DIRECT PLAN-GROWTH	MF	567.428	122.778	69667.67498	29-Aug-26
CDSL	INE745G01043	MULTI COMMODITY EXCHANGE OF INDIA LIMITED#NEW EQUITY SHARES WITH FACE VALUE RS.2/-AFTER SUB-DIVISION	S	25	3330	83250	29-Aug-26
CDSL	INF457M01133	NIPPON LIFE INDIA AM LTD#NIPPON INDIA MF-NIPPON INDIA CPSE ETF RGESS QUALIFIED-GRW OPT	ETF	892	92.76	82741.92	29-Aug-26
CDSL	INF204KB14I2	NIPPON LIFE INDIA AM LTD#NIPPON INDIA MF-NIPPON INDIA ETF NIFTY 50 BEES	ETF	76	275.69	20952.44	29-Aug-26
CDSL	INF204K01K15	NIPPON LIFE INDIA AM LTD#NIPPON INDIA MF-NIPPON INDIA SMALL CAP FUND DIRECT PL DV PL-GROWTH OPT	MF	413.53	210.637	87104.71861	29-Aug-26
CDSL	INE265B01019	NITTA GELATIN INDIA LIMITED - EQUITY SHARES	S	4	1650.25	6601	29-Aug-26
CDSL	INE260D01016	OLECTRA GREENTECH LIMITED # EQUITY SHARES	S	8	1314.45	10515.6	29-Aug-26
CDSL	INE752E01010	POWER GRID CORPORATION OF INDIA LIMITED - EQUITY SHARES	S	15	266.95	4004.25	29-Aug-26
CDSL	INF966L01887	QUANT MONEY MANAGERS LTD#QUANT MF-QUANT MIDCAP FUND-DIRECT-GROWTH	MF	278.921	252.818	70516.24938	29-Aug-26
CDSL	INF966L01689	QUANT MONEY MANAGERS LTD#QUANT MF-QUANT SMALL CAP FUND-DIRECT-GROWTH	MF	58.406	321.771	18793.35703	29-Aug-26
CDSL	INE020B01018	REC LIMITED # EQUITY SHARES	S	62	316.7	19635.4	29-Aug-26
CDSL	INE0N2P01017	RISHABH INSTRUMENTS LIMITED # EQUITY SHARES	S	10	692.9	6929	29-Aug-26
CDSL	INE916U01025	SHEELA FOAM LIMITED # NEW EQ SH WITH FV RS.5/- AFTER SUB DIVISION	S	8	637.65	5101.2	29-Aug-26
CDSL	INE232A01011	SHREE DIGVIJAY CEMENT COMPANY LIMITED - EQUITY SHARES	S	116	77.68	9010.88	29-Aug-26
CDSL	INF277K015B9	TATA AM PVT LTD#TATA MF-TATA RESOURCES & ENERGY FUND - DIR PL - GROWTH	MF	825.43	58.882	48602.96926	29-Aug-26
CDSL	INE467B01029	TATA CONSULTANCY SERVICES LIMITED-EQUITY SHARES 0F RE.1/- AFTER SUB DIVISION	S	19	2344	44536	29-Aug-26
CDSL	INE081A01020	TATA STEEL LIMITED #NEW EQUITY SHARES WITH FACE VALUE RE. 1/- AFTER SUBDIVISION	S	329	186.2	61259.8	29-Aug-26
CDSL	INE280A01028	TITAN COMPANY LIMITED#NEW EQUITY SHARES OF RE-1/-AFTER SUB-DIVISION	S	3	5165	15495	29-Aug-26
CDSL	INE849A01020	TRENT LIMITED # NEW EQ SH WITH FV RS.1/- AFTER SUB DIVISION	S	13	2899	37687	29-Aug-26
CDSL	INE0AE001013	VISHNU PRAKASH R PUNGLIA LIMITED # EQUITY SHARES	S	12	32.29	387.48	29-Aug-26
NSDL	INE021A01026	ASIAN PAINTS LIMITED EQ NEW FV Re. 1/-	S	2	2608.7	5217.4	29-Aug-26
NSDL	INF846K01DP8	AXIS MUTUAL FUND LARGECAP FD- DRGROWTH	MF	3635.92	70.63	256805.0296	29-Aug-26
NSDL	INE486A01021	CESC LIMITED EQ NEW FV Re. 1/-	S	200	148.11	29622	29-Aug-26
